agent,iteration,layer1,layer2,decision, payoff, norm or self, change
agent028,2,29,31,29,29.0,self,1
agent029,2,45,24,45,45.0,self,2
agent02a,2,8,21,8,8.0,self,2
agent02b,2,27,18,27,27.0,self,1
agent02c,2,28,21,28,28.0,self,3
agent02d,2,35,7,35,35.0,self,3
agent02e,2,21,23,21,21.0,self,1
agent02f,2,24,18,24,24.0,self,2
agent030,2,38,31,38,38.0,self,1
agent031,2,31,10,31,31.0,self,3
agent032,2,28,29,28,28.0,self,1
agent033,2,21,7,21,21.0,self,3
agent034,2,5,22,5,5.0,self,1
agent035,2,21,29,21,21.0,self,1
agent036,2,24,31,24,24.0,self,2
agent037,2,39,21,39,39.0,self,3
agent038,2,27,21,27,27.0,self,3
agent039,2,42,7,42,42.0,self,3
agent03a,2,36,24,36,36.0,self,2
agent03b,2,14,21,14,14.0,self,3
agent03c,2,31,7,31,31.0,self,3
agent03d,2,44,29,44,44.0,self,2
agent03e,2,12,37,12,12.0,self,2
agent03f,2,28,7,28,28.0,self,1
agent040,2,19,29,19,19.0,self,1
agent041,2,36,7,36,36.0,self,1
agent042,2,18,21,18,18.0,self,2
agent043,2,22,29,22,22.0,self,2
agent044,2,8,7,8,8.0,self,1
agent045,2,46,29,46,46.0,self,3
agent046,2,40,7,40,40.0,self,3
agent047,2,21,43,21,21.0,self,2
agent048,2,21,22,21,21.0,self,1
agent049,2,41,21,41,41.0,self,2
agent04a,2,10,29,10,10.0,self,1
agent04b,2,26,18,26,26.0,self,2
agent04c,2,10,21,10,10.0,self,1
agent04d,2,31,21,31,31.0,self,2
agent04e,2,43,29,43,43.0,self,3
agent04f,2,7,29,7,7.0,self,2
agent050,2,39,21,39,39.0,self,2
agent051,2,35,29,35,35.0,self,1
agent052,2,39,31,39,39.0,self,2
agent053,2,41,7,41,41.0,self,2
agent054,2,14,21,14,14.0,self,2
agent055,2,11,21,11,11.0,self,1
agent056,2,4,31,4,4.0,self,1
agent057,2,18,31,18,18.0,self,1
agent058,2,43,21,43,43.0,self,2
agent059,2,18,21,18,18.0,self,2
agent05a,2,23,39,23,23.0,self,2
agent05b,2,32,29,32,32.0,self,3
agent05c,2,29,21,29,29.0,self,3
agent05d,2,7,29,7,7.0,self,1
agent05e,2,31,37,31,31.0,self,3
agent05f,2,19,17,19,19.0,self,2
agent060,2,43,7,43,43.0,self,2
